ASSESSMENT_UNIT_ID,PARAM_NAME,PARAM_USE_NAME,PARAM_STATUS_NAME,PARAM_ATTAINMENT_CODE,PARAM_TREND,PARAM_COMMENT,PARAM_AGENCY_CODE,PARAM_POLLUTANT_INDICATOR,PARAM_YEAR_LISTED,PARAM_TARGET_TMDL_DATE,PARAM_EXPECTED_TO_ATTAIN,PARAM_PRIORITY_RANKING,PARAM_CONSENT_DECREE_CYCLE,PARAM_ALT_LISTING_ID,PARAM_ORG_QUALIFIER_FLAG,PARAM_DELISTING_REASON,PARAM_DELISTING_COMMENT,PARAM_DELISTING_AGENCY,Cat_5s,Cat_2s,Cat_3s
AK_B_1021109_001,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,PH,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,ENTEROCOCCUS,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,PH,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,TURBIDITY,MARINE / WATER RECREATION / CONTACT RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,FECAL COLIFORM,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,PH,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,TURBIDITY,MARINE / WATER RECREATION / SECONDARY RECREATION,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,FECAL COLIFORM,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,FECAL COLIFORM,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,FECAL COLIFORM,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,PH,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,PH,MARINE / WATER SUPPLY / INDUSTRIAL,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,PH,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_B_1021109_001,TURBIDITY,MARINE / WATER SUPPLY / AQUACULTURE,Meeting Criteria,Meeting criteria,,,,,,,,,,,,,,,0,0,0
AK_M_1020904_004,FECAL COLIFORM,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",Meeting Criteria,Not enough information,,,,,,,,,,,,,,,0,0,0
